"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.178389374620995,0.390786107092196,-0.456488527569146,0.648242655268136
"hostile_agg",0.194929227825169,0.0323686756435322,6.02215641973969,0.00000000339806630155281
"crime_concerns_agg",0.0536265395284749,0.0256906127206325,2.08739823030405,0.0373724509541747
"rwa_comp",0.0608503371935231,0.0211712091100073,2.87420226579124,0.0042280058558829
"raceresent_comp",0.0674299687237151,0.0182994347486725,3.68481156111156,0.000254608077026461
"emotions_agg",0.07692026217073,0.0283167778024063,2.71642002163797,0.00683448778661617
"bge_orig_rehabilitation",-4.39015523294463,0.588790821644883,-7.45622226358763,0.000000000000411986162307943
"bge_orig_suffering",1.84304956593825,0.534738597219245,3.44663649776265,0.000616859525127329
"vader_compound",-0.0865679936021792,0.0500807387987441,-1.72856862096351,0.0845214415025561
"text_combined_wordcount",-0.000606107836323804,0.000755548971560847,-0.802208538609589,0.422824422557493
