TextFeature,r_hostile,p_hostile,r_crime,p_crime,Verdict
BGE,-0.036989141297601044,0.4110825182412249,0.018401666998864932,0.6826679615954964,CULTURAL DEFAULT
voyage,-0.08454227998491899,0.05990870767718104,0.022257007312255626,0.6209547405310447,CULTURAL DEFAULT
mpnet,-0.0341579518495561,0.4478311258355076,0.05724281509380438,0.20312977775998153,CULTURAL DEFAULT
Claude ML,-0.24499482678229956,3.257945377199634e-08,-0.053799726845586385,0.231688745810951,INDIVIDUAL FACADE
DeBERTa ML,-0.16653541110665251,0.00019484358457299113,-0.11448113289686941,0.010723669400757111,INDIVIDUAL FACADE
Dictionary,-0.09591764876611483,0.032701915103257456,-0.10462406027202781,0.019773995825824217,CULTURAL DEFAULT
