Method,N,Pct_Prosocial,Pct_Dark
Dictionary,421,96.43705463182897,3.5629453681710213
DeBERTa,496,71.9758064516129,28.024193548387093
Claude,496,95.56451612903226,4.435483870967742
BGE,496,70.76612903225806,29.233870967741936
Voyage,496,87.70161290322581,12.298387096774194
