"DV","r_Hostile","r_Crime","Difference","Z","p"
"With Parsimony (punitiveness_agg)",0.586,0.322,0.264,6.26,0.000000000381564779772248
"Without Parsimony",0.581,0.334,0.247,5.87,0.00000000437258784735661
