"","Crime Concerns","Emotions","Hostile Aggression","Personality"
"Punish More",0.279636896639505,0.575670793074059,0.62377348901636,0.594992394708882
"Parsimony",0.184432281403808,0.413697122936839,0.490265201105654,0.392794687076027
"Three Strikes",0.328628186835484,0.478623376091052,0.54626720892378,0.546803108082685
"LWOP",0.32793217858054,0.481033454939,0.473015734262333,0.329307265998923
"Death Penalty",0.238694970427232,0.456663491384327,0.555626964656752,0.550806495866798
"Sentence",0.170367708559513,0.241460910110469,0.247970389058325,0.127057785315738
