PrototypeSet,Model,B3,B3_Description,PctCloserToDark,MeanDiff,SDDiff,CI95Lo,CI95Hi,N
Original,mpnet (2021),b3a,4 pro vs 3 dark,67.54032258064517,-0.03204166516661644,0.0742860734462738,-0.038579329768890024,-0.025504000564342856,496
Original,mpnet (2021),b3b,retrib removed,78.62903225806451,-0.05226229876279831,0.07601038366556168,-0.058951714041356185,-0.045572883484240434,496
Original,mpnet (2021),b3c,retrib as dark,83.46774193548387,-0.059417352080345154,0.06324021518230438,-0.0649829082748926,-0.05385179588579771,496
Original,BGE-large (2024),b3a,4 pro vs 3 dark,20.967741935483872,0.02937774732708931,0.03942473977804184,0.025908110102459827,0.032847384551718796,496
Original,BGE-large (2024),b3b,retrib removed,29.435483870967744,0.019629886373877525,0.041281722486019135,0.01599682241858691,0.02326295032916814,496
Original,BGE-large (2024),b3c,retrib as dark,43.95161290322581,0.00497455382719636,0.03519691526889801,0.0018769930545285557,0.008072114599864164,496
Original,voyage-4 (2026),b3a,4 pro vs 3 dark,28.42741935483871,0.028548463171766313,0.051602736354314054,0.02400708189808725,0.033089844445445375,496
Original,voyage-4 (2026),b3b,retrib removed,38.91129032258064,0.012120260013161178,0.054012541722086076,0.007366799967238943,0.016873720059083414,496
Original,voyage-4 (2026),b3c,retrib as dark,55.846774193548384,-0.007338008148734256,0.04709196475022754,-0.011482411759213695,-0.0031936045382548166,496
Formal,mpnet (2021),b3a,4 pro vs 3 dark,72.98387096774194,-0.021955197677016258,0.0400681346654892,-0.02548145789685615,-0.018428937457176366,496
Formal,mpnet (2021),b3b,retrib removed,78.62903225806451,-0.03606487065553665,0.046103160828351974,-0.04012225299676957,-0.032007488314303736,496
Formal,mpnet (2021),b3c,retrib as dark,81.65322580645162,-0.041158322244882584,0.04425028711557388,-0.04505263947414302,-0.037264005015622145,496
Formal,BGE-large (2024),b3a,4 pro vs 3 dark,34.274193548387096,0.010027921758592129,0.02431880682706833,0.007887706302489991,0.012168137214694267,496
Formal,BGE-large (2024),b3b,retrib removed,46.57258064516129,0.0035180530976504087,0.02757549285888672,0.0010912277831562223,0.005944878412144595,496
Formal,BGE-large (2024),b3c,retrib as dark,58.266129032258064,-0.003871329827234149,0.025846537202596664,-0.006145995636337286,-0.0015966640181310117,496
Formal,voyage-4 (2026),b3a,4 pro vs 3 dark,3.024193548387097,0.07821106905232104,0.041463814917792274,0.07456197976158978,0.08186015834305231,496
Formal,voyage-4 (2026),b3b,retrib removed,8.064516129032258,0.07181629555280547,0.04968997442228274,0.06744324994953524,0.0761893411560757,496
Formal,voyage-4 (2026),b3c,retrib as dark,14.717741935483872,0.04746744816508854,0.048901782299423595,0.043163768669116115,0.05177112766106097,496
Colloquial,mpnet (2021),b3a,4 pro vs 3 dark,32.45967741935484,0.013804955407977104,0.03380464017391205,0.010829924029889563,0.016779986786064648,496
Colloquial,mpnet (2021),b3b,retrib removed,62.5,-0.01368347741663456,0.04264349862933159,-0.017436386657526295,-0.009930568175742824,496
Colloquial,mpnet (2021),b3c,retrib as dark,82.45967741935483,-0.03775104135274887,0.044537611305713654,-0.041670645006504636,-0.033831437698993105,496
Colloquial,BGE-large (2024),b3a,4 pro vs 3 dark,22.782258064516128,0.016459964215755463,0.022392261773347855,0.014489297435711736,0.01843063099579919,496
Colloquial,BGE-large (2024),b3b,retrib removed,38.91129032258064,0.004742608405649662,0.025189105421304703,0.0025258009310305867,0.006959415880268737,496
Colloquial,BGE-large (2024),b3c,retrib as dark,64.51612903225806,-0.00816040113568306,0.024190083146095276,-0.010289288058541606,-0.006031514212824512,496
Colloquial,voyage-4 (2026),b3a,4 pro vs 3 dark,22.782258064516128,0.024123445111575336,0.03663962671618925,0.0208989162125457,0.027347974010604972,496
Colloquial,voyage-4 (2026),b3b,retrib removed,32.45967741935484,0.01692487585138095,0.042630906564758826,0.013173074795253974,0.020676676907507928,496
Colloquial,voyage-4 (2026),b3c,retrib as dark,44.153225806451616,0.005495087628341334,0.04093521999818508,0.0018925181782011454,0.009097657078481522,496
LayFormal,mpnet (2021),b3a,4 pro vs 3 dark,57.25806451612904,-0.010070879943668842,0.04194038361310959,-0.013761910423985004,-0.006379849463352681,496
LayFormal,mpnet (2021),b3b,retrib removed,76.41129032258065,-0.039346326142549515,0.047658130526542664,-0.04354055607690258,-0.03515209620819645,496
LayFormal,mpnet (2021),b3c,retrib as dark,88.70967741935483,-0.05878519266843796,0.048337556421756744,-0.06303921656441724,-0.05453116877245867,496
