"term","estimate","std.error","statistic","p.value"
"(Intercept)",-1.82108022192574,0.140464443154368,-12.9647060923768,0.00000000000000000000000000000000384750292457312
"crime_rates_comp",0.0724947177324812,0.0253574290404141,2.85891434880645,0.0044370959151994
"fear_comp",-0.00733967674528214,0.024084019794489,-0.30475297761388,0.760687217159971
"dueprocess_comp",0.0615375450709139,0.0332251172102764,1.8521392921341,0.0646234573973196
"uncertain_comp",0.00704756145251688,0.0327435606419758,0.215235035968636,0.829676071219542
"hatred_comp",0.101162228456401,0.0334536403782024,3.02395276904801,0.00262943473584335
"anger_comp",-0.0188154013638841,0.0304623458257078,-0.617660946781234,0.53709361663897
"exclusion_comp",0.0839887740465528,0.0315190211341743,2.66470121927386,0.00796678301887749
"degradation_comp",-0.0615647699534822,0.0344069024564207,-1.78931451418678,0.0741984960100695
"suffering_comp",0.0672767425404539,0.0280813662980595,2.39577881739689,0.0169694965589671
"prisonvi_comp",0.0423828617403517,0.0262319752288933,1.61569463871973,0.106821529047529
"harsh_comp",0.0538818523805285,0.0317113054076228,1.69913700139182,0.0899453879148357
"revenge_comp",0.018483974963331,0.0299421132276517,0.617323661252504,0.537315831028979
"rwa_comp",0.0523552416991064,0.0259995354776037,2.01369911951719,0.0446021888627851
"sdo_comp",-0.0685330428482124,0.0265711376903043,-2.57922877247443,0.0102004777733376
"venge_comp",-0.0497635450700672,0.0235091562072975,-2.1167729131265,0.0347962684010541
"vprone_comp",0.0349577742516516,0.0284297700642438,1.2296186065753,0.219446111897043
"raceresent_comp",0.0819035268403841,0.0226157673675161,3.6215232279947,0.000324251102747494
"bloodsports_comp",-0.04353177255119,0.0202457212645257,-2.1501714847505,0.0320436561363694
