"Measure","r_Hostile","r_Crime","Difference","Z","p","Supported"
"Punish More",0.62,0.28,0.34,8.23,0.000000000000000222044604925031,"Yes"
"Parsimony",0.49,0.18,0.31,6.7,0.0000000000203026484513202,"Yes"
"Three Strikes",0.55,0.33,0.22,5.06,0.000000411416142931387,"Yes"
"LWOP",0.47,0.33,0.15,3.27,0.00108248891667628,"Yes"
"Death Penalty",0.56,0.24,0.32,7.23,0.000000000000498490138056695,"Yes"
"Sentence",0.25,0.17,0.08,1.6,0.110653580517523,"No"
