"term","estimate","std.error","statistic","p.value"
"(Intercept)",1.34333507358786,0.590630347456846,2.27440916196066,0.0233764158460209
"punitiveness_8item",0.210517454690896,0.0509157843995482,4.13462067163525,0.000041883422032983
"hostile_agg",0.0256162238276713,0.0478390152246947,0.535467206157039,0.592571767287595
"crime_concerns_agg",0.0620251490192965,0.0378459845389732,1.63888322036976,0.101884734750666
"rwa_comp",-0.0624275232764234,0.0329317229666069,-1.89566526293585,0.0585973127424084
"raceresent_comp",0.002924814377498,0.0283224057633844,0.103268571248253,0.917792416852968
"bge_orig_rehabilitation",-6.90546225522041,0.888125063919222,-7.7753263991303,0.000000000000045324502968336
"bge_orig_suffering",3.14658589657052,0.803017150040455,3.91845416553307,0.000101897179243281
"vader_compound",-0.163072402157107,0.0752365340729982,-2.16746297747961,0.030684432620301
"text_combined_wordcount",-0.000874596210821321,0.0011332469165914,-0.771761385816913,0.440630856287318
