,pct_closer_dark,mean_diff,std_diff
Original,67.54032258064517,-0.032041676,0.074211136
Alt_Formal,72.98387096774194,-0.021955164,0.040027723
Alt_Colloquial,89.71774193548387,-0.06472095,0.051893447
