"term","estimate","std.error","statistic","p.value"
"(Intercept)",-1.93029883254728,0.124095543434137,-15.5549408071352,0.0000000000000000000000000000000000000000000124285068772643
"crime_concerns_agg",0.0406071935378867,0.0284621175228432,1.42671020542643,0.154300298479102
"process_agg",0.0592554445216089,0.0388531469069144,1.52511313082502,0.127876034891963
"emotions_agg",0.124550556061758,0.0305554430582405,4.07621502409103,0.0000534001462650148
"hostile_agg",0.212672413865457,0.0393816178030193,5.4002965274106,0.000000103919183841918
"personality_agg",0.0716827865279236,0.0398165219863056,1.80032767685179,0.0724237917896122
