"Measure","r_Hostile","r_Crime","Difference","Z","p","Supported"
"Punish More",0.54,0.28,0.26,5.9,0.0000000036208278597627,"Yes"
"Parsimony",0.4,0.18,0.22,4.6,0.00000415050595514721,"Yes"
"Three Strikes",0.47,0.33,0.14,3.18,0.00145362258100512,"Yes"
"LWOP",0.46,0.33,0.13,2.91,0.00359119602019198,"Yes"
"Death Penalty",0.51,0.24,0.27,5.96,0.00000000250936049717154,"Yes"
"Sentence",0.26,0.17,0.09,1.89,0.0590742799924802,"No"
