,punitiveness_agg,hostile_agg,hatred_comp,revenge_comp,sdo_comp
sim_prosocial_mean,-0.1268197476384856,-0.041738076199713606,-0.03887857587524339,-0.05369321500165014,-0.05286779701965743
sim_dark_mean,0.028959737976826008,-0.009332889172313225,-0.06669927823666329,0.02801717768918363,-0.00013759566994254405
just_prosocial,-0.09997975005936052,-0.0791699825687069,-0.07450359750004198,-0.06396156791920597,-0.037825763547769495
just_dark,0.12595062839082732,0.07534797912568686,0.048520108504729514,0.09473534589238816,0.03246695816344454
vader_compound,-0.19330927178818222,-0.052011326309036876,-0.09128837677346467,-0.021885245514660572,-0.07825395429648382
