Pair,N,Raw_Agreement,Kappa
BART ML vs BART FC,496,0.905241935483871,0.655045871559633
BART ML vs Dictionary,427,0.8711943793911007,0.04791827137471116
BART ML vs BERT Sim,496,0.5161290322580645,0.09774436090225569
BART FC vs Dictionary,427,0.7985948477751756,0.02769540351620403
BART FC vs BERT Sim,496,0.530241935483871,0.1121081745543947
Dictionary vs BERT Sim,427,0.5011709601873536,0.05384543364507366
