"Model","chi_sq","df","CFI","TLI","RMSEA","RMSEA_lo","RMSEA_hi","SRMR","AIC","BIC"
"4-factor",699.1,98,0.858,0.826,0.111,0.104,0.119,0.069,25210,25369.8
"5-factor",805.81,125,0.858,0.826,0.105,0.098,0.112,0.064,27819.1,28012.6
